01,همزه,hamze,ʾ,[ʔ],ء,ء,ء,ء
02,الف ,ʾalef ,â ,[ɒ] ,ـا ,ـا ,ا ,ا
03,ب ,be ,b ,[b] ,ـب ,ـبـ ,بـ ,ب
04,پ ,pe ,p ,[p] ,ـپ ,ـپـ ,پـ ,پ
05,ت ,te ,t ,[t] ,ـت ,ـتـ ,تـ ,ت
06,ث ,s̱e ,s̱ ,[s] ,ـث ,ـثـ ,ثـ ,ث
07,جیم ,jim ,j ,[d͡ʒ] ,ـج ,ـجـ ,جـ ,ج
08,چ ,če ,č ,[t͡ʃ] ,ـچ ,ـچـ ,چـ ,چ
09,ح ,ḥe+ḥâ-ye ḥotti+ḥâ-ye jimi,ḥ ,[h] ,ـح ,ـحـ ,حـ ,ح
10,خ ,xe ,x ,[x] ,ـخ ,ـخـ ,خـ ,خ
11,دال ,dâl ,d ,[d] ,ـد ,ـد ,د ,د
12,ذال ,ẕâl ,ẕ ,[z] ,ـذ ,ـذ ,ذ ,ذ
13,ر ,re ,r ,[r] ,ـر ,ـر ,ر ,ر
14,ز ,ze ,z ,[z] ,ـز ,ـز ,ز ,ز
15,ژ ,že ,ž ,[ʒ] ,ـژ ,ـژ ,ژ ,ژ
16,سین ,sin ,s ,[s] ,ـس ,ـسـ ,سـ ,س
17,شین ,šin ,š ,[ʃ] ,ـش ,ـشـ ,شـ ,ش
18,صاد ,ṣâd ,ṣ ,[s] ,ـص ,ـصـ ,صـ ,ص
19,ضاد ,zâd ,ż ,[z] ,ـض ,ـضـ ,ضـ ,ض
20,طا ,tâ ,t ,[t] ,ـط ,ـطـ ,طـ ,ط
21,ظا ,ẓâ ,ẓ ,[z] ,ـظ ,ـظـ ,ظـ ,ظ
22,عین ,ʿayn ,ʿ ,[ʔ][æ][a],ـع ,ـعـ ,عـ ,ع
23,غین ,ġayn ,ġ ,[ɢ][ɣ],ـغ ,ـغـ ,غـ ,غ
24,ف ,fe ,f ,[f] ,ـف ,ـفـ ,فـ ,ف
25,قاف ,qâf ,q ,[q] ,ـق ,ـقـ ,قـ ,ق
26,کاف ,kâf ,k ,[k] ,ـک ,ـکـ ,کـ ,ک
27,گاف ,gâf ,g ,[ɡ] ,ـگ ,ـگـ ,گـ ,گ
28,لام ,lâm ,l ,[l] ,ـل ,ـلـ ,لـ ,ل
29,میم ,mim ,m ,[m] ,ـم ,ـمـ ,مـ ,م
30,نون ,nun ,n ,[n] ,ـن ,ـنـ ,نـ ,ن
31,واو ,vâv,v / ū / ow / o ,[uː][ow][v][o],ـو ,ـو ,و ,و
32,ه ,he+hā-ye havvaz+hā-ye do-češm,h ,[h][e][a],ـه ,ـهـ ,هـ ,ه
33,ی ,ye ,y / ī / á,[j][i][ɒː],ـی ,ـیـ ,یـ ,ی
